"category","type","question","correctAnswers","correctAnswers__-","wrongAnswers__001","wrongAnswers__002","wrongAnswers__003","wrongAnswers__004","answerType","answerQuantity","answerKey"
"government","principles","What is the supreme law of the land?","","The Constitution","The Bill of Rights","The Declaration of Independence","The Emancipation Proclamation","Presidents Day","singleAnswer","null","null"
"government","principles","What does the Constitution do?","Defines the government","","states rights","Green movement","Declares independence from Great Britain","Christmas","interchangeAnswer","null","null"
"","","","Sets up the government","","","","","","","",""
"","","","Protects basic rights of Americans","","","","","","","",""
"government","principles","The idea of self-government is in the first three words of the Constitution. What are these words?","","We the People","freedom of religion","In God We Trust","United We Stand","Life, Liberty, Happiness","singleAnswer","null","null"
"government","principles","What is an amendment?","An addition (to the Constitution)","","Appoints federal judges","President","A removal of a law","A court ruling","interchangeAnswer","null","null"
"","","","A change (to the Constitution)","","","","","","","",""
"government","principles","What do we call the first ten amendments to the Constitution?","","The Bill of Rights","The Federalist Papers","To conquer the British","The Declaration of Independence","The Articles of Confederation","singleAnswer","null","null"
"government","principles","What is one right or freedom from the First Amendment?","Speech","","Trial by jury","Cherokee","To declare war","Right to bear arms","interchangeAnswer","null","null"
"","","","Petition the government","","","","","","","",""
"","","","Assembly","","","","","","","",""
"","","","Religion","","","","","","","",""
"","","","Press","","","","","","","",""
"government","principles","How many amendments does the Constitution have?","","Twenty-seven (27)","Twenty-one (21)","To set up schools","Thirty-three (33)","Ten (10)","singleAnswer","null","null"
"government","principles","What did the Declaration of Independence do?","Declared our independence (from Great Britain)","","eight (8)","Established the U.S. Constitution","Korean War","Decides if a law goes against the Constitution","interchangeAnswer","null","null"
"","","","Said that the United States is free (from Great Britain)","","","","","","","",""
"","","","Announced our independence (from Great Britain)","","","","","","","",""
"government","principles","What are two rights in the Declaration of Independence?","Pursuit of happiness","","Mohegan","Freedom of speech","Freedom from taxation","Right to bear arms","multipleAnswer","3","null"
"","","","Liberty","","","","","","","",""
"","","","Life","","","","","","","",""
"government","principles","What is freedom of religion?","","You can practice any religion, or not practice a religion.","Freedom of religion applies only in churches.","Only major religions are recognized.","Checks and balances","You must choose a religion by age 18.","singleAnswer","null","null"
"government","principles","What is the economic system in the United States?","Capitalist economy","","Socialist economy","Judicial review","April 15","Planned economy","interchangeAnswer","null","null"
"","","","Market economy","","","","","","","",""
"government","principles","What is the rule of law?","Government must obey the law","","Mike Pence","The president decides the law","Navajo","the right to bear arms","interchangeAnswer","null","null"
"","","","No one is above the law","","","","","","","",""
"","","","Leaders must obey the law","","","","","","","",""
"","","","Everyone must follow the law","","","","","","","",""
"government","systems","Name one branch or part of the government.","President","","Federal Reserve","because there were 13 original colonies","State governments","Two hundred (200)","interchangeAnswer","null","null"
"","","","Congress","","","","","","","",""
"","","","Judicial","","","","","","","",""
"","","","The courts","","","","","","","",""
"","","","Executive","","","","","","","",""
"","","","Legislative","","","","","","","",""
"government","systems","What stops one branch of government from becoming too powerful?","Checks and balances","","Publius","Judicial review","Executive orders","George Washington","interchangeAnswer","null","null"
"","","","Separation of powers","","","","","","","",""
"government","systems","Who is in charge of the executive branch?","","The President","The Speaker of the House","The Vice President","The Chief Justice","Everyone must follow the law","singleAnswer","null","null"
"government","systems","Who makes federal laws?","The Congress","","The Constitution was written","because the stripes represent the original colonies","The Supreme Court","The Vice President","interchangeAnswer","null","null"
"","","","The Senate and the House (of Representatives)","","","","","","","",""
"","","","The U.S. (national) legislature","","","","","","","",""
"government","systems","What are the two parts of the U.S. Congress?","","The Senate and House (of Representatives)","The Cabinet and Congress","The President and Vice President","The Judicial and Executive branches","because there is one star for each state","singleAnswer","null","null"
"government","systems","How many U.S. Senators are there?","","One hundred (100)","Fifty (50)","Two hundred (200)","Vietnam War","Four hundred thirty-five (435)","singleAnswer","null","null"
"government","systems","We elect a U.S. Senator for how many years?","","six (6)","eight (8)","Freedom","four (4)","two (2)","singleAnswer","null","null"
"government","systems","Who is one of your state U.S. Senators now?","","Answers will vary","Russia, China, and Germany","American Samoa","Provide schooling and education","Petition the government","stateAnswer","null","senator"
"government","systems","The House of Representatives has how many voting members?","","Four hundred thirty-five (435)","Two hundred (200)","Freedom from taxation","Three hundred (300)","One hundred (100)","singleAnswer","null","null"
"government","systems","We elect a U.S. Representative for how many years?","","Two (2)","Four (4)","Six (6)","One (1)","Nancy Pelosi","singleAnswer","null","null"
"government","systems","Name your U.S. Representative","","Answers will vary","Michigan","because each star represents a state","Massachusetts","Everyone must follow the law","stateAnswer","null","representative"
"government","systems","Who does a U.S. Senator represent?","","All people of the state","Mike Pence","Only state lawmakers","Only people who voted for them","Only the people in their political party","singleAnswer","null","null"
"government","systems","Why do some states have more Representatives than other states?","Because some states have more people","","Give a driver license","Because they are larger in size","Leaders must obey the law","The Federal Court of Appeals","interchangeAnswer","null","null"
"","","","Because of the state population","","","","","","","",""
"","","","Because they have more people","","","","","","","",""
"government","systems","We elect a President for how many years?","","Four (4)","Two (2)","Six (6)","Delaware","Eight (8)","singleAnswer","null","null"
"government","systems","In what month do we vote for President?","","November","The Judicial and Executive branches","October","January","December","singleAnswer","null","null"
